,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.KES.price,quote.KES.volume_24h,quote.KES.volume_change_24h,quote.KES.percent_change_1h,quote.KES.percent_change_24h,quote.KES.percent_change_7d,quote.KES.percent_change_30d,quote.KES.percent_change_60d,quote.KES.percent_change_90d,quote.KES.market_cap,quote.KES.market_cap_dominance,quote.KES.fully_diluted_market_cap,quote.KES.tvl,quote.KES.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10469,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19488087.0,19488087.0,False,,1,,,,2023-09-17T09:13:00.000Z,3863995.304787722,961495824031.407,-41.4454,0.14626348,0.12749048,2.74495863,-0.00312736,-11.32323791,0.58193759,75301876667294.64,48.9289,81143901400542.06,,2023-09-17T09:14:05.000Z,,,,,,2023-09-17 12:15:04.217708
1,1027,Ethereum,ETH,ethereum,7394,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120224406.72279915,120224406.72279915,True,,2,,,,2023-09-17T09:13:00.000Z,237392.3943210807,392620192094.2965,-37.6247,0.13178987,-0.21789925,0.40614495,-3.49154,-14.42772301,-5.29011508,28540359767756.723,18.5465,28540359767756.32,,2023-09-17T09:14:05.000Z,,,,,,2023-09-17 12:15:04.217708
2,825,Tether USDt,USDT,tether,62379,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83041923535.66393,85437198726.47841,True,,3,,,,2023-09-17T09:13:00.000Z,145.50747358782522,1830989609659.5752,-35.9034,-0.02154522,-0.01327769,0.03031293,0.0547674,0.00169823,0.0404019,12083220495547.82,7.8516,12431750937111.348,,2023-09-17T09:14:05.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-09-17 12:15:04.217708
3,1839,BNB,BNB,bnb,1624,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153848317.95479125,153848317.95479125,False,,4,,,,2023-09-17T09:13:00.000Z,31283.544770563727,48399281519.318665,-47.2414,0.21097985,0.47934563,1.06643212,-1.78035564,-10.89723495,-11.46289162,4812920742614.635,3.1274,4812920742615.004,,2023-09-17T09:14:05.000Z,,,,,,2023-09-17 12:15:04.217708
4,52,XRP,XRP,xrp,1086,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53175400720.0,99988428101.0,False,,5,,,,2023-09-17T09:13:00.000Z,72.36201228616697,73767216236.71466,-32.4457,0.33618132,-0.62651353,-0.46240998,-2.35530062,-36.11699234,1.9592632,3847879000222.492,2.5003,7236201228617.136,,2023-09-17T09:14:05.000Z,,,,,,2023-09-17 12:15:04.217708
5,3408,USD Coin,USDC,usd-coin,14109,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,26164101929.672733,26164101929.672733,False,,6,,,,2023-09-17T09:13:00.000Z,145.489892532528,227891422340.93018,-38.2734,-0.01713174,-0.02476636,-0.01068158,-0.00438755,0.00707571,-0.00960752,3806612377958.195,2.4734,3806612377958.7295,,2023-09-17T09:14:05.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-09-17 12:15:04.217708
6,74,Dogecoin,DOGE,dogecoin,799,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141041906383.70523,141041906383.70523,True,,7,,,,2023-09-17T09:13:00.000Z,9.056055437873521,20682778781.787647,-15.1346,0.04575382,-0.04394305,0.53405477,-0.53598866,-9.33398843,0.52140281,1277283323274.202,0.83,1277283323274.5957,,2023-09-17T09:14:05.000Z,,,,,,2023-09-17 12:15:04.217708
7,2010,Cardano,ADA,cardano,934,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35108286535.47,36167977941.125,False,,8,,,,2023-09-17T09:13:00.000Z,36.301514742607566,11647404170.550962,-37.6834,0.29635227,-0.4678849,0.03373918,-5.39318791,-20.5858029,-3.57779828,1274483981255.0552,0.8282,1633568163417.1963,,2023-09-17T09:14:05.000Z,,,,,,2023-09-17 12:15:04.217708
8,11419,Toncoin,TON,toncoin,143,2021-08-26T13:40:22.000Z,"['pos', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3431892087.62,5047558528.0,True,,9,3414166606.0,8294218715.539204,,2023-09-17T09:13:00.000Z,353.4495502922306,11939688072.146952,19.3319,-0.53522144,12.46421425,38.34266801,80.81116562,76.97175677,73.65681268,1213000715020.7534,0.7882,1784057291795.8232,,2023-09-17T09:14:05.000Z,,,,,,2023-09-17 12:15:04.217708
9,5426,Solana,SOL,solana,525,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,411266547.81527364,557580259.3649158,True,,10,,,,2023-09-17T09:13:00.000Z,2759.9057634190012,17500876412.91782,-41.6963,0.15297962,-0.9800124,3.27848855,-14.17095585,-26.97458604,22.81044322,1135056915616.8098,0.7376,1538868971390.5608,,2023-09-17T09:14:05.000Z,,,,,,2023-09-17 12:15:04.217708
